t_ns,qx,qy,qz,qw
15857515473738,0.36909723,0.3963736,0.5854014,0.6032913
15857520232071,0.3689906,0.3963603,0.5854054,0.6033613
15857524990457,0.36889163,0.39633724,0.58541614,0.6034267
15857529748842,0.36880836,0.3963104,0.58542967,0.603482
15857534507176,0.36874625,0.39627466,0.5854499,0.6035239
15857539265561,0.368697,0.3962404,0.58546954,0.60355735
15857544023946,0.3686249,0.39622214,0.5855087,0.60357535
15857548782332,0.36855614,0.3962192,0.5855425,0.6035866
15857553540665,0.3684836,0.39622727,0.58557403,0.603595
15857558299051,0.36839405,0.39624268,0.5855995,0.6036147
15857563057436,0.36830375,0.39626247,0.5856156,0.6036413
15857567815769,0.36821592,0.39627355,0.5856327,0.603671
15857572574155,0.36815843,0.39627054,0.58563226,0.6037085
15857577332540,0.36811382,0.39625,0.5856434,0.6037383
15857582090926,0.36807802,0.3962093,0.58566767,0.6037632
15857586849259,0.3680513,0.39617106,0.5856909,0.6037822
15857591607644,0.3680259,0.39612582,0.58571845,0.60380054
15857596366030,0.36797088,0.39610258,0.5857602,0.60380894
15857601124415,0.3679004,0.39610007,0.58578867,0.6038258
15857605882749,0.36781538,0.3961157,0.58580357,0.60385305
15857610641134,0.3677339,0.39611802,0.5857986,0.60390586
15857615399519,0.3676574,0.3961191,0.58579475,0.60395545
15857620157801,0.3675987,0.39611098,0.58580655,0.6039851
15857624916238,0.3675631,0.3960736,0.5858356,0.6040031
15857629674624,0.36755452,0.39601976,0.5858807,0.6039999
15857634432957,0.36755437,0.395951,0.5859448,0.6039828
15857639191342,0.36755535,0.3958767,0.58602625,0.6039519
15857643949728,0.36754942,0.39580318,0.58611804,0.6039147
15857648708113,0.3675234,0.39575353,0.58620334,0.6038803
15857653466446,0.36747414,0.39573106,0.58627164,0.6038586
15857658224832,0.36742088,0.39573777,0.58631945,0.6038402
15857662983217,0.36735514,0.39575723,0.5863513,0.60383654
15857667741551,0.36728084,0.3957834,0.58636695,0.60384953
15857672499936,0.36723652,0.3958089,0.5863732,0.60385346
15857677258321,0.36721843,0.3958305,0.58635885,0.6038644
15857682016655,0.3672123,0.39585188,0.58634514,0.6038674
15857686775040,0.3672203,0.3958848,0.5863246,0.60386086
15857691533426,0.3672305,0.39592668,0.58629847,0.60385257
15857696291811,0.36722654,0.3959838,0.5862857,0.6038299
15857701050144,0.367214,0.39603892,0.5862736,0.6038132
15857705808530,0.36720157,0.39609855,0.5862602,0.60379463
15857710566915,0.36719784,0.3961558,0.5862461,0.603773
15857715325249,0.36720067,0.39619055,0.58624643,0.60374814
15857720083634,0.3672248,0.39622295,0.58625174,0.6037071
15857724842019,0.36727443,0.396234,0.5862696,0.6036522
15857729600353,0.36734897,0.39619926,0.5863166,0.60358405
