t_s,phase,gnss_x_m,gnss_y_m,gnss_speed,gnss_bearing_deg,gyro_heading_deg,heading_err_deg,imu_accel_speed,imu_accel_speed_err,last_speed,last_speed_err,ml_speed,ml_speed_err,imu_x_m,imu_y_m,imu_pos_err_m,last_x_m,last_y_m,last_pos_err_m,ml_x_m,ml_y_m,ml_pos_err_m,ml_correction_vs_imu_m
8.5900,CALIB,0.0603,0.2803,0.0000,1.1313,314.7124,-46.4189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0603,0.2803,0.0000,0.0603,0.2803,0.0000,0.0603,0.2803,0.0000,0.0000
8.6900,CALIB,0.0661,0.3014,0.0000,1.1313,314.7029,-46.4284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0661,0.3014,0.0000,0.0661,0.3014,0.0000,0.0661,0.3014,0.0000,0.0000
8.7900,CALIB,0.0717,0.3220,0.0000,1.1313,314.6955,-46.4358,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0717,0.3220,0.0000,0.0717,0.3220,0.0000,0.0717,0.3220,0.0000,0.0000
8.8900,CALIB,0.0768,0.3416,0.0000,1.1313,314.6888,-46.4426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0768,0.3416,0.0000,0.0768,0.3416,0.0000,0.0768,0.3416,0.0000,0.0000
8.9900,CALIB,0.0814,0.3601,0.0000,1.1313,314.6951,-46.4363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0814,0.3601,0.0000,0.0814,0.3601,0.0000,0.0814,0.3601,0.0000,0.0000
9.0900,CALIB,0.0851,0.3771,0.0000,1.1313,314.7079,-46.4234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0851,0.3771,0.0000,0.0851,0.3771,0.0000,0.0851,0.3771,0.0000,0.0000
9.1900,CALIB,0.0879,0.3924,0.0000,1.1313,314.7294,-46.4019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0879,0.3924,0.0000,0.0879,0.3924,0.0000,0.0879,0.3924,0.0000,0.0000
9.2900,CALIB,0.0897,0.4063,0.0000,1.1313,314.7304,-46.4009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0897,0.4063,0.0000,0.0897,0.4063,0.0000,0.0897,0.4063,0.0000,0.0000
9.3900,CALIB,0.0912,0.4198,0.0000,1.1313,314.7377,-46.3936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0912,0.4198,0.0000,0.0912,0.4198,0.0000,0.0912,0.4198,0.0000,0.0000
9.4900,CALIB,0.0925,0.4328,0.0000,1.1313,314.7340,-46.3974,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0925,0.4328,0.0000,0.0925,0.4328,0.0000,0.0925,0.4328,0.0000,0.0000
9.5900,CALIB,0.0936,0.4452,0.0000,1.1313,314.7336,-46.3977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0936,0.4452,0.0000,0.0936,0.4452,0.0000,0.0936,0.4452,0.0000,0.0000
9.6900,CALIB,0.0945,0.4569,0.0000,1.1313,314.7406,-46.3908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0945,0.4569,0.0000,0.0945,0.4569,0.0000,0.0945,0.4569,0.0000,0.0000
9.7900,CALIB,0.0955,0.4679,0.0000,1.1313,314.7398,-46.3916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0955,0.4679,0.0000,0.0955,0.4679,0.0000,0.0955,0.4679,0.0000,0.0000
9.8900,CALIB,0.0965,0.4780,0.0000,1.1313,314.7382,-46.3931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0965,0.4780,0.0000,0.0965,0.4780,0.0000,0.0965,0.4780,0.0000,0.0000
9.9900,CALIB,0.0976,0.4872,0.0000,1.1313,314.7309,-46.4004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0976,0.4872,0.0000,0.0976,0.4872,0.0000,0.0976,0.4872,0.0000,0.0000
10.0900,CALIB,0.0990,0.4954,0.0000,1.1313,314.7207,-46.4107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0990,0.4954,0.0000,0.0990,0.4954,0.0000,0.0990,0.4954,0.0000,0.0000
10.1900,CALIB,0.1006,0.5025,0.0000,1.1313,314.7117,-46.4197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1006,0.5025,0.0000,0.1006,0.5025,0.0000,0.1006,0.5025,0.0000,0.0000
10.2900,CALIB,0.1029,0.5086,0.0000,1.1313,314.7126,-46.4187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1029,0.5086,0.0000,0.1029,0.5086,0.0000,0.1029,0.5086,0.0000,0.0000
10.3900,CALIB,0.1058,0.5139,0.0000,1.1313,314.7224,-46.4089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1058,0.5139,0.0000,0.1058,0.5139,0.0000,0.1058,0.5139,0.0000,0.0000
10.4900,CALIB,0.1094,0.5186,0.0000,1.1313,314.7422,-46.3892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1094,0.5186,0.0000,0.1094,0.5186,0.0000,0.1094,0.5186,0.0000,0.0000
10.5900,CALIB,0.1133,0.5229,0.0000,1.1313,314.7590,-46.3723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1133,0.5229,0.0000,0.1133,0.5229,0.0000,0.1133,0.5229,0.0000,0.0000
