t_ns,mx,my,mz,bx,by,bz
31154047063047,-24.112501,6.8437505,19.85625,3.36,13.62,8.16
31154057063047,-25.331251,6.3187504,21.09375,3.36,13.62,8.16
31154067063047,-24.50625,5.4187503,20.25,3.36,13.62,8.16
31154077063047,-27.562502,4.7625003,19.556252,3.36,13.62,8.16
31154087063047,-26.025002,5.71875,20.587502,3.36,13.62,8.16
31154097063047,-26.98125,4.70625,20.71875,3.36,13.62,8.16
31154107063047,-24.750002,5.7562504,19.81875,3.36,13.62,8.16
31154117063047,-26.19375,6.6937504,21.0375,3.36,13.62,8.16
31154127063047,-24.768751,6.76875,20.7,3.36,13.62,8.16
31154137063047,-25.781252,5.86875,18.862501,3.36,13.62,8.16
31154147063047,-25.593752,6.2812505,19.44375,3.36,13.62,8.16
31154157063047,-26.5125,4.89375,21.88125,3.36,13.62,8.16
31154167063047,-26.04375,4.33125,18.9375,3.36,13.62,8.16
31154177063047,-24.750002,5.7562504,19.81875,3.36,13.62,8.16
31154187063047,-24.900002,5.86875,19.987501,3.36,13.62,8.16
31154197063047,-25.63125,6.2812505,20.5125,3.36,13.62,8.16
31154207063047,-25.85625,5.86875,20.7,3.36,13.62,8.16
31154217063047,-26.268751,5.55,17.85,3.36,13.62,8.16
31154227063047,-24.35625,6.3187504,20.212502,3.36,13.62,8.16
31154237063047,-25.031252,4.96875,19.706251,3.36,13.62,8.16
31154247063047,-24.468752,5.7937503,20.85,3.36,13.62,8.16
31154257063047,-26.962502,5.71875,20.85,3.36,13.62,8.16
31154267063047,-24.956251,5.6062503,20.456251,3.36,13.62,8.16
31154277063047,-26.23125,6.05625,18.900002,3.36,13.62,8.16
31154287063047,-23.775002,6.01875,19.837502,3.36,13.62,8.16
31154297063047,-24.581251,6.1687503,21.46875,3.36,13.62,8.16
31154307063047,-25.800001,5.11875,20.1,3.36,13.62,8.16
31154317063047,-24.825,5.3812504,19.837502,3.36,13.62,8.16
31154327063047,-26.362501,6.1687503,19.06875,3.36,13.62,8.16
31154337063047,-26.775002,6.8625,20.79375,3.36,13.62,8.16
31154347063047,-26.85,5.34375,20.23125,3.36,13.62,8.16
31154357063047,-26.6625,4.74375,20.98125,3.36,13.62,8.16
31154367063047,-25.612501,6.2812505,20.04375,3.36,13.62,8.16
31154377063047,-24.956251,5.6062503,20.75625,3.36,13.62,8.16
31154387063047,-25.81875,5.11875,20.56875,3.36,13.62,8.16
31154397063047,-25.050001,3.9562502,19.893751,3.36,13.62,8.16
31154407063047,-24.91875,5.86875,20.75625,3.36,13.62,8.16
31154417063047,-24.900002,4.8562503,19.85625,3.36,13.62,8.16
31154427063047,-26.1,5.08125,19.5375,3.36,13.62,8.16
31154437063047,-24.675001,5.26875,19.96875,3.36,13.62,8.16
31154447063047,-25.462502,5.55,21.13125,3.36,13.62,8.16
31154457063047,-26.2875,6.05625,20.75625,3.36,13.62,8.16
31154467063047,-26.437502,6.1687503,20.925001,3.36,13.62,8.16
31154477063047,-25.143751,6.20625,19.5375,3.36,13.62,8.16
31154487063047,-25.687502,6.5062504,18.825,3.36,13.62,8.16
31154497063047,-24.750002,6.01875,20.8875,3.36,13.62,8.16
31154507063047,-27.91875,4.70625,20.681252,3.36,13.62,8.16
31154517063047,-26.812502,5.6062503,20.212502,3.36,13.62,8.16
31154527063047,-26.625002,4.7625003,19.9125,3.36,13.62,8.16
31154537063047,-25.725,5.7562504,21.150002,3.36,13.62,8.16
31154547063047,-26.00625,4.96875,21.056252,3.36,13.62,8.16
31154557063047,-25.48125,6.1687503,20.6625,3.36,13.62,8.16
31154567063047,-25.85625,5.86875,21.018751,3.36,13.62,8.16
31154577063047,-26.550001,5.64375,22.03125,3.36,13.62,8.16
31154587063047,-24.956251,5.6062503,20.75625,3.36,13.62,8.16
31154597063047,-27.618752,5.7562504,21.84375,3.36,13.62,8.16
31154607063047,-24.900002,5.6062503,18.91875,3.36,13.62,8.16
31154617063047,-25.575,5.64375,20.38125,3.36,13.62,8.16
31154627063047,-24.300001,5.7000003,19.9125,3.36,13.62,8.16
31154637063047,-25.218752,6.6937504,19.6875,3.36,13.62,8.16
31154647063047,-25.7625,5.49375,20.868752,3.36,13.62,8.16
31154657063047,-23.8125,4.2562504,21.431252,3.36,13.62,8.16
31154667063047,-25.425001,4.8,21.0,3.36,13.62,8.16
