run,dir,variant,cut,t_cut,bias_cut_dps,bias_oracle_dps,bias_stand_dps,n,mean_deg,rms_deg,max_abs_deg,drift_deg,start_err_deg,end_err_deg,outage_s,brg_mean_deg,brg_rms_deg,brg_drift_deg
6,AB,kfc_loose,c60,60.0,0.01,-0.002,0.008,142,1.15,2.32,5.72,3.87,0.17,4.04,146.21,2.0,3.7,-1.28
6,AB,kfc_loose,turn,93.5,-0.007,-0.002,0.008,108,3.33,3.87,8.12,4.48,2.2,6.69,112.71,4.03,5.23,7.6
8,BA,kfc_loose,c10,10.0,0.502,0.03,0.021,220,-54.29,62.57,110.47,-103.76,-2.13,-105.89,238.18,-54.42,62.69,-103.43
8,BA,kfc_loose,c30,30.0,-0.016,0.03,0.021,200,3.71,4.91,15.11,7.38,0.08,7.46,218.18,3.59,4.52,6.73
8,BA,kfc_loose,c60,60.0,0.0,0.03,0.021,170,2.12,3.56,12.1,3.22,0.79,4.01,188.18,1.95,3.04,2.54
8,BA,kfc_loose,turn,96.4,0.018,0.03,0.021,134,-0.22,2.94,8.96,0.75,-0.34,0.4,151.83,-0.46,2.43,-0.58
9,AB,kfc_loose,c10,10.0,-0.659,0.014,0.006,213,75.95,86.87,147.93,141.95,4.84,146.79,218.62,75.75,87.1,143.03
9,AB,kfc_loose,c30,30.0,0.065,0.014,0.006,193,-4.31,5.19,13.45,-7.41,-0.64,-8.05,198.62,-4.48,5.79,-6.33
9,AB,kfc_loose,c60,60.0,0.017,0.014,0.006,164,1.44,2.54,7.1,2.23,-0.2,2.03,168.62,1.51,4.07,5.03
9,AB,kfc_loose,turn,113.0,0.031,0.014,0.006,110,-0.17,2.25,7.49,0.1,-0.85,-0.74,115.57,0.13,3.98,5.74
10,BA,kfc_loose,c10,10.0,-0.393,0.026,0.016,204,43.5,49.71,83.16,78.56,3.15,81.71,206.99,43.88,50.29,81.93
10,BA,kfc_loose,c30,30.0,-0.001,0.026,0.016,183,2.68,3.3,8.78,1.11,0.81,1.91,186.99,3.13,4.69,2.98
10,BA,kfc_loose,c60,60.0,0.066,0.026,0.016,154,-4.91,5.8,12.16,-9.46,-1.43,-10.89,156.99,-4.42,6.07,-5.34
10,BA,kfc_loose,turn,98.5,0.038,0.026,0.016,115,-2.37,3.21,7.0,-7.1,1.3,-5.8,118.44,-1.47,3.94,-9.55
11,AB,kfc_loose,c10,10.0,0.006,0.011,0.014,185,1.74,2.67,9.49,1.08,1.94,3.01,191.29,0.34,4.07,1.49
11,AB,kfc_loose,c30,30.0,-0.095,0.011,0.014,165,10.69,12.17,20.95,19.17,0.67,19.85,171.29,9.49,12.51,26.14
11,AB,kfc_loose,c60,60.0,-0.012,0.011,0.014,135,3.64,4.25,10.07,5.26,0.41,5.67,141.29,3.55,4.77,7.91
11,AB,kfc_loose,turn,100.5,0.016,0.011,0.014,94,1.08,2.07,6.11,0.51,0.6,1.1,100.76,1.44,2.72,5.78
12,BA,kfc_loose,c10,10.0,0.017,0.017,0.013,266,-5.25,6.16,14.67,-0.18,-4.56,-4.74,271.94,-5.41,5.91,-0.27
12,BA,kfc_loose,c30,30.0,-0.192,0.017,0.013,246,26.3,30.29,59.08,51.08,0.92,52.01,251.94,26.19,30.01,50.25
12,BA,kfc_loose,c60,60.0,-0.007,0.017,0.013,216,2.9,4.57,12.59,6.8,-0.91,5.88,221.94,2.73,3.8,4.2
12,BA,kfc_loose,turn,128.4,0.027,0.017,0.013,148,-2.2,4.17,11.97,-0.31,-1.95,-2.25,153.51,-2.5,3.63,-3.48
